Improved sanitation,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,Congo Dem. Rep.,Congo Rep.,Cook Is,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Is (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,"United Korea (former)
",Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao China,Macedonia FYR,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia Fed. Sts.,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,St. Barthélemy,St. Helena,St. Kitts and Nevis,St. Lucia,St. Martin,St. Vincent and the Grenadines,St.-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),North Yemen (former),South Yemen (former),Yemen,Yugoslavia,Zambia,Zimbabwe
1990,,,,76,88,,100,29,,,90,,,100,100,,100,,39,100,93,100,77,5,,,18,,38,68,,,99,8,44,9,48,100,,96,11,8,,84,24,,,67,17,9,,,93,20,99,80,100,100,,100,66,,73,,69,72,75,,9,,95,3,,,61,100,100,,98,,,96,100,7,,97,100,97,,99,62,,10,,,26,,50,,100,100,18,32,79,,99,,100,,80,100,,97,96,25,26,,100,,,100,,,,,,,97,,,100,,,9,39,84,68,15,100,64,,16,89,,64,29,,100,,,,53,11,,24,,10,100,,,,,43,5,37,,,,84,100,82,27,65,58,47,37,54,57,,,92,,100,,71,74,36,,,96,58,,,,99,,,,38,,,,,11,99,100,100,,,,71,,100,70,27,,,48,100,100,85,,,7,84,,13,,96,,93,74,84,98,,80,27,,97,100,100,94,,84,,,82,,,,37,,,,24,,46,41
1991,,29,,76,89,,100,29,,,91,,,100,100,,100,,39,100,93,100,77,6,,,18,,41,68,,,99,8,44,9,48,100,,96,11,8,,84,26,,,67,18,9,,,93,20,99,80,100,99,,100,67,,74,,70,73,75,,9,,95,3,,,62,100,100,,98,,,96,100,7,,97,100,97,,99,63,,11,,,26,,51,,100,100,18,33,79,67,99,,100,,80,100,,97,96,26,27,,100,,,100,93,,,,,,97,,,100,,,10,40,85,68,15,100,65,,16,89,,65,29,,100,,,,55,11,54,24,,11,100,,,,,43,5,37,,,,85,100,83,28,65,59,47,40,55,58,,,92,,100,,71,73,37,,,96,58,,,,99,,,,39,,,,,11,99,100,100,,,,72,,100,72,26,,,48,100,100,85,,,7,85,,14,,96,,93,75,84,98,,81,28,,97,100,100,94,,84,,,82,87,,,39,,,,25,,46,40
1992,,29,,77,89,,100,30,,95,91,88,,100,100,,100,,39,100,93,100,78,6,,,19,,42,69,,,99,8,44,9,48,100,35,96,11,9,,85,28,,,68,20,9,,,94,20,99,82,100,99,,100,66,,74,,72,74,76,,9,,95,3,,,64,100,100,,98,,60,96,100,7,,97,100,97,,99,64,,11,,,27,,53,,100,100,19,34,79,67,99,,100,,80,100,,97,96,26,27,53,100,,,100,93,,,,,,97,,,100,,,10,40,86,68,16,100,66,,16,89,,66,29,76,100,,,,55,11,55,25,,12,100,,,,,44,5,36,,,,86,100,84,29,66,60,47,42,56,58,,,93,,100,,71,73,38,,,96,59,,,,99,,,,39,,,,,11,99,100,100,,,,72,,100,73,26,,,48,100,100,85,,,7,86,,13,,96,,93,76,85,98,97,81,28,,97,100,100,94,,83,,35,84,87,,,41,,,,27,,46,41
1993,,29,,77,89,,100,31,,95,91,88,,100,100,,100,,40,100,93,100,78,6,,,19,,43,69,,,99,8,44,9,48,100,36,96,12,9,,86,30,,,69,20,9,,,94,20,99,82,100,99,,100,66,,74,,73,75,77,,9,,95,4,,,65,100,100,,98,,60,96,100,7,,97,100,97,,99,65,,11,,,27,,54,,100,100,20,36,79,67,99,,100,,79,100,,97,96,26,27,53,100,,,100,93,,,98,,,97,,,100,,,10,41,87,68,16,100,66,,16,89,,67,28,76,100,,,,57,12,55,25,,13,100,,,,,45,5,36,,,,87,100,84,30,66,60,47,44,57,60,,,94,,100,,71,73,39,,,96,59,,,,99,,,,40,,,,,11,99,100,100,29,21,,72,,100,74,27,,,48,100,100,85,,89,7,87,,13,,96,,93,76,85,98,97,81,29,,97,100,100,94,,83,,36,84,87,,,43,,,,28,,46,41
1994,,29,,77,90,,100,33,,95,91,88,,100,100,57,100,,41,100,93,100,79,6,,,20,95,44,70,,,99,8,44,9,48,100,36,96,14,9,,87,32,,,69,21,11,,,94,21,99,82,100,99,,100,66,,75,,75,77,78,89,9,,95,4,,,67,100,100,,98,36,60,96,100,8,,97,100,97,,99,66,,11,13,78,26,,56,,100,100,20,37,81,67,99,,100,,79,100,,97,96,27,28,53,100,,,100,93,16,,98,24,10,97,,,100,,,10,42,88,68,17,100,67,,17,89,,69,29,76,100,50,,,58,12,55,26,,14,100,,,,,45,5,36,,,,88,100,85,31,68,61,47,46,58,60,,,95,,100,,72,73,40,,,96,60,,,,99,,20,,41,,,,,11,99,100,100,30,21,,72,,100,75,27,80,,49,100,100,85,,89,7,88,,13,,96,,93,77,85,98,97,81,29,95,97,100,100,94,,83,,36,85,87,,,44,,,,31,,46,41
1995,,29,,78,90,,100,34,,95,91,88,,100,100,57,100,,42,100,93,100,80,7,,,21,95,46,71,,,100,9,45,10,48,100,37,96,15,9,,88,34,,,70,22,12,,,94,21,99,83,100,99,,100,65,81,76,,76,79,79,89,10,,95,4,,,68,100,100,,98,36,61,96,100,9,,97,100,97,,99,67,,12,13,78,25,,57,,100,100,21,38,82,67,99,,100,,79,100,,97,96,27,28,53,100,,,100,93,17,,98,24,11,97,,,100,,,11,42,88,70,17,100,67,,18,89,,70,28,76,100,50,,,59,12,55,26,,15,100,,,,,46,5,36,,,,89,100,86,32,71,62,47,48,59,61,,,95,,100,,72,73,41,,,96,60,,,,99,,20,,41,,,,,11,99,100,100,30,21,,72,,100,76,27,80,,49,100,100,86,,89,8,88,37,13,,96,,92,78,85,98,97,82,29,95,97,100,100,94,,85,,36,86,87,,,46,,,,32,,47,41
1996,,29,,79,90,,100,36,,95,90,88,,100,100,57,100,,42,100,93,100,81,8,,,21,95,47,71,,,100,9,45,11,49,100,37,96,17,9,,89,36,,,70,23,12,,,94,21,99,83,100,99,,100,63,81,77,,78,80,80,89,10,,95,4,,,70,100,100,,98,36,61,96,100,9,,97,100,97,,99,67,,13,13,78,24,,59,,100,100,22,40,84,67,99,,100,,79,100,,97,96,27,30,53,100,,,100,93,17,,98,24,10,97,,,100,,,11,43,89,72,17,100,68,,19,89,,71,28,76,100,50,,,60,13,56,27,,16,100,,,,,46,5,35,,,,89,100,87,33,73,62,47,50,59,62,,90,96,,100,,72,73,42,,,96,61,,,,99,,20,,42,,,,,11,99,100,100,30,21,,73,,100,77,26,80,,50,100,100,86,,89,8,90,37,13,,96,,92,79,86,98,97,82,29,95,97,100,100,95,,86,,36,86,88,,,48,,,,33,,47,40
1997,,30,,80,91,,100,38,,95,90,88,,100,100,57,100,,44,100,93,100,81,8,,38,21,95,48,72,,,100,10,45,12,48,100,39,96,18,9,,89,38,,,71,24,13,20,,94,21,99,84,100,99,,100,63,81,77,,79,81,80,89,10,,95,5,,,71,100,100,,98,36,61,96,100,9,,97,100,97,,99,69,,13,13,78,23,,60,,100,100,23,41,85,68,99,,100,,79,100,,97,96,27,30,55,100,,,100,93,18,79,98,24,11,97,,86,100,,,11,44,90,74,17,100,68,,19,89,,72,27,77,100,50,,,61,13,57,27,,17,100,,,,,47,6,35,,,,90,100,87,34,76,63,47,52,61,63,,90,97,,100,,72,73,43,,,96,61,,,,99,,21,,43,,,,,11,100,100,100,30,22,,74,,100,78,26,80,,51,100,100,87,,89,8,91,37,13,,96,,92,79,86,98,97,82,29,95,97,100,100,95,,87,,37,86,88,,,50,,,,35,,46,40
1998,,30,,81,91,,100,39,,95,90,88,,100,100,57,100,,45,100,93,100,82,8,,38,22,95,49,73,,,100,10,45,14,49,100,41,96,19,10,,91,40,,,71,26,14,20,,94,21,99,85,100,98,,100,62,81,78,,81,83,81,89,11,,95,6,,,72,100,100,,98,36,62,96,100,9,,98,100,97,,99,70,,13,13,78,23,,62,,100,100,24,42,86,68,99,,100,,80,100,,97,96,28,31,57,100,,,100,93,18,79,98,24,11,97,,86,100,,,11,44,91,76,18,100,69,,20,89,,73,27,78,100,49,90,,62,14,59,27,,18,100,,,,,47,7,35,,,,91,100,88,36,79,64,47,54,61,64,,90,97,,100,,72,72,45,,,96,61,,,,99,,21,,43,,,,,11,100,100,100,30,21,,74,,100,79,26,81,,51,100,100,87,,89,9,92,37,13,,96,,92,80,87,98,97,82,30,95,97,100,100,96,,88,,39,88,88,,,52,,,,37,,46,40
1999,,31,,82,92,,100,41,,95,90,88,,100,100,60,100,,46,100,93,100,82,8,,39,22,95,50,73,,,100,11,45,15,49,100,42,96,21,10,,91,42,,,72,27,15,20,,94,21,99,86,100,98,,100,60,81,78,,82,84,82,89,11,,95,8,,,74,100,100,,98,36,62,95,100,10,,98,100,97,,99,70,,14,13,79,22,,63,,100,100,25,44,88,68,99,,100,,80,100,,98,96,28,32,59,100,,,100,93,22,78,98,25,11,97,,86,100,,,11,45,91,78,18,100,69,,20,89,,74,26,78,100,49,90,,63,14,61,28,,19,100,,,,,47,7,34,,,,92,100,89,36,82,64,47,56,62,65,,90,98,,100,,72,72,46,,,96,62,,,,99,,21,,44,,,,,11,100,100,100,30,22,,74,,100,81,26,81,,51,100,100,88,,89,9,93,37,13,,96,,92,81,87,98,97,83,30,95,97,100,100,96,,90,,40,88,88,,,54,,,,38,,47,40
