Internet users per 100,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,Congo Dem. Rep.,Congo Rep.,Cook Is,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Is (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,"United Korea (former)
",Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao China,Macedonia FYR,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia Fed. Sts.,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,St. Barthélemy,St. Helena,St. Kitts and Nevis,St. Lucia,St. Martin,St. Vincent and the Grenadines,St.-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),North Yemen (former),South Yemen (former),Yemen,Yugoslavia,Zambia,Zimbabwe
1990,,0,,0,0,0,0,0,,0,0,0,0,0.586159397,0.130244795,0,0,0,0,0,0,0.001004885,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.359828722,0,0,0,0,,0,0,,,0,0,0,0,,0,0,0,0,0,0,,0.097279065,0,0,0,,0,0,0,0,0,,0,0,0,,0,0.401088474,0.051358396,,0,0,0,0,0.12536139,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.106969259,0.017579544,0,0.020082459,,0,0,0,0,0,0.02332553,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,0,0,,0,0.333049731,,0,0,,0,0,0,,,,0,0.707301449,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,0,,0,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,,0.012886396,0,0,0,,0,0.584191657,0.592007952,0,,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0.087304793,0.796410628,0,,0,,0,0,0,,,0,0,,,0,,0,0
1991,,,,,,,,,,,,,,1.099529387,0.257901755,,,,,,,0.020016144,,,,,,,0,0.003288171,,,,,0,,,0.567957184,,,,,,,,,,,,,,,,,,,,,,0.194084375,,,,,,,,,,,,,,,,1.396162786,0.136292982,,,,,,0.249141881,,,0.04874523,,0,,,,,,,,,,,0.123164858,0.003378532,0.504270782,,,,,0.056850538,,0.201324431,0.035123511,,0.040040587,,,,,,,0.046235883,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0.005880695,,,,,,,,,,,,0,0.528847182,,,,,,,,,,,,1.407791446,,,,,,,,,,0.00521778,0.100013928,,,,,,,,,,,,,,,,,,,,,,,,0.159668763,,,,,,0.013933413,,0.025712694,,,,,,1.160432455,1.169566424,0,,,,5.22334E-05,,0,,,,,,,,,,,,,0.174063236,1.176189103,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,0.002992874,,,1.772249769,0.637697351,,,,,,,0.0996358,,,,,,,,0.012946262,,,,,0,,,0.911695417,,,,,,0.036548938,,,,,,,,,0.001113325,,,,0.05006043,,,0.386964079,,,,,0.005118035,,,,,,0.065252816,,,,,1.884175563,0.271338368,,,,,,0.433440951,,,0.048204812,,0,,,,,,,,,,,0.866167528,0.048275799,1.532226528,0.000111308,,,,0.169251102,,0.291458419,0.070174388,,0.095859763,,,,,,,0.098553721,,,,,,,,,,,,,0.152653068,,,,,0.001047822,0,,,0,,,,,0.01730781,,,,,,,,,,,,0,1.312926711,,,0.28362769,,,,,,,,,2.215962001,,,,,,,,,,0.051969631,0.250730833,,,,,0.000673476,,,,,,,,,,,,,,,,,,,0.465530877,,,,,,0.040936028,,0.076882019,,,,,,1.49970134,1.736257531,0,,,,0.000343725,,0,,,,,,,,,,,,,0.260366482,1.736045578,,,,,,0.012068234,,,,,,,,,,,
1993,,,,,,,,,,,0.029527065,,,1.981363276,0.758952509,,,,,,,0.198409894,,,,,,,,0.025498253,,,0.002360627,,0,,,1.17926229,,0,,,,0.071783144,0.000170147,,,,,,,,0.081509754,,0.096982256,,0.056367482,0.580760599,,0.578635602,,,,,0.016400751,0.000975791,,,0,,0.301362566,,,,0.006678447,2.565899705,0.574086886,,,,,,0.462319739,,,0.191039732,,0,,,,,,,,,,,1.35102205,0.193241867,2.654280027,0.000218176,,,,0.280330583,,0.377998025,0.122689814,,0.398433646,,,,,,,0.249953609,,,,,,,,,,,,,0.30116992,,,,,0.025538478,0,,,0,,,,,0.028305042,,,,,,,,,,,,0,1.95708452,,,0.629860239,,,,,,,,,2.78229798,,,,,,,,,,0.129471345,0.452217023,,,,0.003733426,0.013485769,,,,,,,,,,,,,,,,,,0,0.757270506,0.12807441,0.40166011,,,,0.120229818,,0.127735127,,,,,,1.720367003,2.152589367,0,,,,0.013580966,,0,,,,,,0.008457732,,,,,0.000767551,,0.519429037,2.279401619,,,,,,0.041552957,,,,,,,,,,,
1994,,,,,0.000360674,,,,,,0.043705951,0.009117014,,2.240454351,1.3860681,0.00144512,,,,,0.000489093,0.691998962,,,,,,,,0.037672709,,,0.019541423,,0,,,2.370288127,,0,,,,0.141084507,0.001177609,,,0.107173945,,,,,0.279912479,,0.268815993,,0.111034621,1.257874245,,1.345828887,,,,,0.034833586,0.00638327,,,0,,1.163320929,,,,0.007907399,4.913200453,0.874351842,,,,,,0.923185,,,0.378930408,0.064864865,0,,0.34845391,,,0.000138318,,,,,,2.79002186,0.483537589,6.766408647,0.001069562,0.001059744,0.000408332,,0.557801642,,0.551889953,0.192716666,0.036507825,0.794159301,,,0.000521886,,,,0.310748735,,,,,,,,,,,,,0.495104818,0.036993376,,,,0.099607417,0,,,0,,,,,0.043339167,,0.00097444,,,,,,,,,,0,3.24402663,,,3.171713375,,0.013166228,,,,,,,4.149882188,,,,0.007636899,,,0.008504578,0.005844253,,0.387300057,0.724185184,0.027400726,,,0.026392708,0.054009895,,,,,,,,,,,,,,,,,,0,1.173586096,0.318952707,1.055577761,,,,0.261473625,,0.280238016,0.002796165,0,,,,3.416397907,2.707338476,0,,,,0.038614321,,0,,,,,0.00737391,0.049869182,,,,,0.013498423,,1.036122818,4.869119182,0.062474386,,,,,0.055452734,,,,,0.931380562,,,,,0.006776105,0.00173928
1995,,,,0.011168695,0.001768954,,,,,2.200768802,0.086277081,0.052743123,,2.766742391,1.887201228,0.0020769,0.960030721,0.346205844,,0.007752238,0.002944246,0.986092865,0.046196296,,6.805468842,,0.066807568,,0.064521041,0.105138168,,1.017080166,0.118961698,,0,,,4.156162704,,3.948967193,,,,0.346980781,0.004992261,,,0.18804679,,,,,0.416829206,0.000200256,0.5140287,9.1658E-05,0.410120685,1.452461652,,3.825649841,0.01603083,0.548762737,0.017233601,,0.043833641,0.031319638,,,0,,2.786852943,1.75491E-05,0,,0.009115343,13.90033654,1.590891489,,,,0.009217541,0.012675191,1.843393972,0.000347918,,0.752254491,0.053763441,0,,0.659530909,0.002998005,,0.000668589,,,,,0.036775252,3.212474534,0.677645965,11.21629503,0.026228879,0.026109477,0.004179752,,1.109036524,,0.894695903,0.525554305,0.108671947,1.58225972,,0.024269643,0.011381126,0.000727482,,,0.811854684,,,0.202898433,,,,0.071617991,,,,,,1.586647487,0.280014086,0.04074384,,,0.145673837,0,,0.234800726,0,,,,,0.10256419,,0.004081523,,0.008811225,,,0.003710492,,,0.006172051,,0.000924878,6.457731209,,0.005118796,4.886447956,,0.030046478,,,,,,,6.423090825,,0.000122702,,0.056123043,,,0.033412305,0.028585702,,0.644341626,1.508423207,0.135781947,0.190209535,,0.074941799,0.148708662,,,,,0.309082365,,0.128634622,,,1.362132711,,0.010956134,0.000692848,,,,,0,2.838503974,0.52388296,2.864505858,0.02487191,0,,0.71622353,,0.381185686,0.00551271,0,0.114720735,,0.00103175,5.098030019,3.540915839,0,,,,0.074825338,,0,,0.12323112,,0.158149899,0.011164495,0.081691205,,,,0.002863471,0.042757313,0.102939175,1.894455542,9.238674204,0.310128582,,0.001536098,,,0.122169988,,,,,2.781193152,,,,,0.008783623,0.00768354
1996,,,,0.032196828,0.001738533,,1.526601023,0.000775929,,2.858449577,0.141954704,0.094572902,2.768382663,3.276794752,6.910418483,0.006421961,1.746950698,0.843254219,,0.389464214,0.029541545,2.951330322,0.900316339,0.0016931,16.17651061,,0.196081174,0.015125563,0.15745423,0.450789179,,3.303349927,0.717462121,0.000960519,0.000803592,,,6.739808038,,,0.005849503,,,0.68347561,0.013173925,,,0.330017773,,0.000108207,0.00352686,,0.84105704,0.00840978,0.890081964,0.031949001,0.673343541,1.93939533,,5.706451857,0.031166241,1.165518146,0.074987053,,0.086161276,0.061466899,0.086389581,,0,,3.535403123,0.001703448,2.318786811,,0.064437142,16.78205302,2.508799722,,0.090971944,0,0.03550736,0.043330957,3.065452305,0.005648763,,1.401285071,1.788908766,0.298032982,,1.356106888,0.019534871,,0.001948942,,0.065854115,0.007484253,,0.043711246,4.625447085,0.969498501,14.87271634,0.046333977,0.056623989,0.01582608,,2.199874404,,2.090186749,1.024694733,0.585198539,4.340087015,,0.04686114,0.032099592,0.008839115,,,1.603709081,,,0.855662317,,,0.814501448,0.140166939,0.00284594,,,,0.277608544,5.540287981,0.727273598,0.075995734,0.003695196,,0.852044466,0.22693009,0.002055228,1.098335764,0.037059432,,,0.186435279,,0.20040628,0.278037795,0.005454152,,0.018160749,,,0.005675444,0.003042979,,0.009032145,,0.004510473,9.640758661,,0.250564546,8.01031358,,0.084093291,0.001039305,0.00883298,,,,,18.26615204,0,0.00299173,,0.219998526,0.002067023,0.020359612,0.24623258,0.055946029,,1.287640924,3.013829301,0.268710333,0.930185833,,0.221116883,0.271063844,0.000883372,,,2.080955205,0.679401751,,0.483248317,,,1.428075186,,0.026732651,0.011238219,,,,0.643605477,0.002506116,8.135760868,0.784375534,5.028554318,0.268683585,0.00150955,,0.88767041,,1.333241454,0.05447815,0,0.226306297,,0.050399009,9.05016995,4.542652624,0,,,0.001622155,0.115472136,,0.010929139,,0.163793456,,0.393080525,0.02750633,0.192724936,,,,0.004625948,0.098032298,0.375393534,4.122935802,16.41933053,1.853715884,,0.004307667,,0.056845636,0.248230218,,,,0.000138426,4.62366878,,,0.000621081,,0.009069176,0.016790484
1997,,,,0.048593919,0.010268463,,3.050175385,0.005673746,,3.480536838,0.280339882,0.111650935,,16.37656577,9.538176519,0.025430364,1.362953903,1.646299202,0.000751046,0.783428912,0.049444292,4.905171024,1.302286094,0.024648796,24.22442691,,0.447839036,0.059425563,0.30774685,0.786079155,,4.831057905,1.203074592,0.018686353,0.007979439,0.005844911,0.006768744,15.00351866,0.24096792,,0.014270881,0.000658168,,1.057092496,0.032599617,,,0.550521023,0,0.000211213,0.003469104,,1.640221288,0.018828361,1.749807002,0.068220214,4.378272095,2.913393387,,11.36602703,0.082941498,,0.142687565,,0.110217959,0.090480245,0.256960679,0.041462292,0.009017718,,5.7211708,0.00496672,4.601297566,,0.223454842,19.45649457,4.129441202,,0.21438525,0.047999009,0.051311347,0.066214059,6.734913847,0.027537542,,1.857940148,7.917857143,0.990883868,,2.344571647,0.095476021,,0.003803109,0.016389063,0.131828033,,,0.170996468,10.39687705,1.942611452,27.65197484,0.070767849,0.194910264,0.046756094,,4.083458214,,4.244706374,2.276654913,0.789863231,9.090448285,,0.61917912,0.065232805,0.034406051,,0,3.543897083,,,2.174535859,,,2.058639728,1.241079739,0.005584433,0.004489443,,,0.978967042,7.141086355,2.364127672,0.503985009,0.014333647,0.004668518,2.307393234,0.309444238,0.010085919,4.090526998,,,0.004172527,0.481471192,,0.62731154,0.570676845,0.032807508,,0.112742554,,,0.021635203,0.011842611,,0.058750679,,0.021998858,14.06115677,,0.97854581,14.48888804,,0.206216818,0.002008766,0.017237401,,,,,20.45002513,0.439792805,0.027549238,,0.539065541,0.100588321,0.099576719,0.403429701,0.136912963,,2.059487886,5.011980311,1.332257193,3.083749186,,0.443696312,0.475645661,0.001625791,,,2.456031482,1.001535568,,0.926371957,,0.174571863,1.41854848,,0.052099031,0.027347441,,,,1.264969094,0.004987835,13.02691853,1.174820469,7.552926567,0.391923246,0.002948713,,1.709750005,,2.805177933,0.161241838,0.001231819,1.003086936,,0.088545986,23.74906276,15.10335915,0.032607814,,,0.007900283,0.360522185,,0.211139465,,0.510866122,,1.173174658,0.043410003,0.473695432,,,,0.010319341,0.19783447,3.295592694,7.385629066,21.615318,3.376790254,,0.010574654,,0.139505815,0.391014167,,,,0.004078646,6.91938405,,,0.015025295,,0.009329658,0.033080327
1998,,,,0.06502737,0.020238555,,6.886209218,0.018453724,,4.0717165,0.83076668,0.128659478,,30.85256168,15.41992017,0.037781882,2.33559071,3.218202151,0.003684813,1.970249237,0.07451749,7.82914849,2.091139304,0.047877304,32.24615506,,0.626484062,0.14367106,0.602400929,1.477874959,,6.284742844,1.816698459,0.045423484,0.015842776,0.016324986,0.013216341,24.7871626,0.472735008,,0.027878201,0.004268504,,1.662322022,0.169501808,,,1.126225245,0.03787097,0.000413065,0.003415143,,2.666378698,0.060974439,3.332664752,0.226699199,8.890539159,3.889977266,,22.64921525,0.094696004,2.925345191,0.233914189,,0.125272771,0.147987377,0.425253672,0.094423774,0.008774236,,10.82919814,0.009663517,11.33786848,,0.633167865,25.44030613,6.130810476,,1.316164696,0.17012488,0.206094461,0.111456401,9.914364049,0.032240443,,3.236607539,14.59358289,1.484854484,,4.50128419,0.466590444,,0.006203369,0.024060421,0.26408811,0.023999477,,0.301247214,14.59079321,3.894040868,36.47077117,0.139027329,0.255306646,0.099815221,,8.082906648,,9.951673681,4.554096002,1.96074827,13.2989712,,1.329923948,0.132755785,0.050261388,0.616545618,0,6.66580682,,,3.052397455,0.073646034,0.009657814,3.328748952,2.722352199,0.010956533,0.004099387,,,1.972333219,11.75982428,7.003324245,1.002861666,0.062561023,0.018057365,6.751770483,0.569627464,0.019793888,6.774804104,,,0.040594795,2.594084678,,1.265783278,1.858718785,0.301412074,,0.145810542,,,0.142300767,0.020197055,,0.286745093,,0.064393596,22.22045548,,1.923841033,31.3747952,,0.303808975,0.002911503,0.025231461,,,,,22.59974007,0.862725306,0.043947719,,2.750648071,0.234958542,0.194904951,1.19038044,1.103405994,,4.070753241,9.99034618,2.650404892,3.52002985,,2.224248934,0.817448409,0.011763573,,,3.74026839,1.315466535,,1.853997683,,0.230359015,1.408557941,0.295847047,0.101429893,0.079871379,,,,2.467000767,0.014805065,18.76299339,2.692819689,10.09252809,0.508292797,0.00716442,,3.018346507,,4.363311726,0.292029764,0.004805071,1.670148436,,0.098059931,33.47384966,24.81027927,0.063687286,,,0.009244125,1.091218985,,0.305583935,,0.765134358,,2.724825339,0.107154134,0.698805129,,,,0.065289465,0.299371706,6.908302986,13.67018994,30.10760446,7.022250618,,0.020820389,,0.274185942,1.384660603,,,,0.01334963,9.210891905,,,0.023323243,,0.030226183,0.081648476
1999,,,,0.081437045,0.199523843,,7.635686143,0.071964087,,5.300681138,3.284481956,0.970737757,4.506179098,40.83096345,23.02231748,0.099932031,3.764557822,4.720358118,0.036170407,2.376247035,0.498457508,13.66710496,4.099731973,0.154906741,40.30518411,0.137571514,0.981815187,0.1943742,1.122391474,2.038732184,,7.671041206,2.857297783,0.061780293,0.039204469,0.031969578,0.129067581,36.04954849,1.159982461,,0.040894287,0.012321728,,4.103419297,0.711999281,,,1.697730794,0.148162964,0.001009076,0.016791049,,3.904323257,0.118685917,4.391856703,0.314690541,11.34239866,6.817171538,,30.58450445,0.105761909,2.932164377,1.104743874,,0.823371634,0.290445278,0.845428741,0.097415945,0.025495028,,14.54630827,0.012541599,22.29753835,,0.942462063,32.27334121,8.862278766,,3.448900232,0.249009564,0.715827015,0.449318164,20.90725137,0.104895466,,6.912069848,21.57257759,2.473166147,,8.497176323,0.592652945,,0.060808919,0.117702448,3.966354735,0.070658478,,0.573575476,21.50748906,5.857778952,41.44671501,0.273224277,0.444415936,0.378569095,,10.92262373,,12.92580374,14.36763832,2.34078518,21.20239483,,2.565298237,0.469064975,0.114256028,1.211577838,0,23.11365892,,,4.756222209,0.207183966,0.037780708,4.409378385,5.376809498,0.05380446,0.011328732,0.133617289,,2.922635016,17.39502648,9.212005085,1.49733026,0.168608781,0.087278755,12.3055022,1.119908615,0.060909873,8.08664803,0.966071567,,0.118464464,4.688642667,,1.857436221,2.797594069,0.686360664,,0.50847156,,,0.175595345,0.056250629,0.000151709,0.336217708,,0.146668869,39.08543615,,5.6520958,41.30261761,,0.497901643,0.028136022,0.041038723,,,,,40.03362683,2.515665987,0.055357238,,3.836864509,0.667113315,0.38165732,1.952497608,1.431608803,,5.410683316,14.91874677,5.270245683,4.070728915,,2.674850335,1.025794084,0.067176482,,,4.735627372,1.950973949,,2.7820023,,0.285308333,42.80331575,0.363203161,0.49358534,0.311090952,,,,6.027642759,0.048490656,23.45978207,5.443129367,12.60669672,0.494541498,0.013910394,,4.23265533,,7.089057571,0.3402619,0.008794581,1.891871357,,0.488768247,41.40758542,33.96549072,0.124295462,,0.032791858,0.075130889,2.426242432,,0.590363264,,1.01796712,,5.814250962,1.58665725,2.292117685,0.04502077,,,0.10554394,0.402878023,14.94269899,21.28962755,35.88213093,10.02877517,,0.030887455,,0.538300048,2.842111834,,,,0.131105043,11.04605157,,,0.056628675,,0.147053172,0.161675528
